indicator,type,"last_seen","first_seen",sensor,"ut_domain"
"http://137.184.190.170/0x83911d24Fx.sh",URL,"1655595064.109249","1655595064.109249",1,"137.184.190.170"
"http://138.68.73.27/.cache",URL,"1672221804.103400","1672221804.103400",1,"138.68.73.27"
"http://139.180.159.94/skidnet.sh",URL,"1687905772.211542","1687905627.104365",1,"139.180.159.94"
"http://139.59.150.7:443/curl",URL,"1655256511.892611","1655246729.781591",1,"139.59.150.7"
"http://139.59.150.7:443/ps",URL,"1655256511.892611","1655246729.781591",1,"139.59.150.7"
"http://139.59.150.7:443/ss",URL,"1655256511.892611","1655246729.781591",1,"139.59.150.7"
"http://141.94.16.50/0x83911d24Fx.sh",URL,"1658921500.437101","1658791869.259246",1,"141.94.16.50"
"http://141.98.10.34/sh",URL,"1686747112.734601","1686747112.734601",1,"141.98.10.34"
"http://141.98.10.75/sh",URL,"1683917541.932104","1683914689.553631",2,"141.98.10.75"
"http://147.129.181.8/~tkim/pro/p.tgz",URL,"1661692119.868505","1661692119.868505",1,"147.129.181.8"
"http://147.231.19.62/.x/1sh",URL,"1668957669.506500","1668417376.188599",1,"147.231.19.62"
"http://147.231.19.62/.x/2sh",URL,"1668957672.703589","1668417380.644606",1,"147.231.19.62"
"http://147.231.19.62/.x/3sh",URL,"1668957674.054161","1668443957.464563",1,"147.231.19.62"
"http://149.210.189.119/bos/p.gif",URL,"1621438559.440543","1621438559.440543",1,"149.210.189.119"
"http://161.35.220.175/scn",URL,"1685824306.431482","1685822592.056679",1,"161.35.220.175"
"http://164.92.76.161/76d32be0.sh",URL,"1655786505.440731","1655781291.197497",1,"164.92.76.161"
"http://167.99.67.22/zehir/z3hir.x86",URL,"1657416031.127556","1657362392.510859",2,"167.99.67.22"
"http://171.22.136.15/x86_64",URL,"1680395775.122640","1677578576.976652",1,"171.22.136.15"
"http://171.22.30.175/skid.x86",URL,"1665456191.653312","1665456051.820715",1,"171.22.30.175"
"http://171.22.30.78/bins.sh",URL,"1659064471.009408","1659063114.838399",1,"171.22.30.78"
"http://177.53.99.189/.s/rx.sh",URL,"1677421322.577885","1677418071.856824",1,"177.53.99.189"
"http://178.128.110.66/x/1sh",URL,"1679980346.019414","1678572405.488410",1,"178.128.110.66"
"http://178.128.110.66/x/2sh",URL,"1679950579.722623","1678572409.202446",1,"178.128.110.66"
"http://178.128.96.224/AkitaXss/bin.x86",URL,"1656479766.151842","1656479766.151842",1,"178.128.96.224"
"http://179.43.163.105/root",URL,"1665998035.136552","1665891176.364450",1,"179.43.163.105"
"http://179.43.175.170/putkite/quickr1n.sh",URL,"1643719212.219596","1643719148.189580",1,"179.43.175.170"
"http://179.43.175.5/774.sh",URL,"1667710140.515279","1667295378.370382",2,"179.43.175.5"
"http://179.43.175.5/pl/774.sh",URL,"1668164560.621839","1668164560.621839",1,"179.43.175.5"
"http://179.43.175.5/ssh.sh",URL,"1664991693.400511","1664938502.970651",2,"179.43.175.5"
"http://179.43.175.5/sshc.sh",URL,"1664991693.400511","1664938502.970651",2,"179.43.175.5"
"http://179.43.175.5/test.sh",URL,"1665002299.157979","1664969266.974231",2,"179.43.175.5"
"http://179.43.175.5/wget.sh",URL,"1668180025.040217","1664977234.640377",2,"179.43.175.5"
"http://179.43.175.58/x86_64",URL,"1636319774.545795","1636108768.723330",2,"179.43.175.58"
"http://18.188.207.128/bins.sh",URL,"1668314486.391245","1668313667.813141",1,"18.188.207.128"
"http://182.52.51.239/scripts/23",URL,"1659164892.114671","1656352785.167011",2,"182.52.51.239"
"http://182.52.51.239/scripts/23s",URL,"1659164892.114671","1656352785.167011",2,"182.52.51.239"
"http://182.53.197.62/scripts/23",URL,"1660367570.835849","1659930928.316858",2,"182.53.197.62"
"http://182.53.197.62/scripts/23s",URL,"1660367570.835849","1659930928.316858",2,"182.53.197.62"
"http://182.53.197.73/scripts/23",URL,"1656065027.891602","1655692591.606597",2,"182.53.197.73"
"http://182.53.197.73/scripts/23s",URL,"1656065027.891602","1655692591.606597",2,"182.53.197.73"
"http://185.150.117.194/monero/dayone.sh",URL,"1633595529.455231","1633566475.622399",1,"185.150.117.194"
"http://185.150.117.29/x/b",URL,"1625340014.830154","1625340014.830154",1,"185.150.117.29"
"http://185.158.112.239/x-8.6-.Fourloko",URL,"1677003770.076511","1677003770.076511",1,"185.158.112.239"
"http://185.161.208.234/eth.jpg",URL,"1661727793.188220","1659121002.306899",3,"185.161.208.234"
"http://185.161.208.234/ltc.jpg",URL,"1658708552.251099","1658707295.682369",1,"185.161.208.234"
"http://185.161.208.234/oracle",URL,"1664695452.632818","1664297976.953884",2,"185.161.208.234"
"http://185.161.208.234/usme.jpg",URL,"1676859786.383425","1676859786.383425",1,"185.161.208.234"
"http://185.161.208.234/vent.jpg",URL,"1683331727.307725","1683331296.079174",1,"185.161.208.234"
"http://185.161.208.234/w.jpg",URL,"1673841814.367537","1673841814.367537",1,"185.161.208.234"
"http://185.161.208.234/xxunzmr.tgz",URL,"1664299273.378834","1664297976.953884",1,"185.161.208.234"
"http://185.225.73.78/sh",URL,"1658868856.749802","1658868856.749802",1,"185.225.73.78"
"http://185.225.74.193/Axisbins.sh",URL,"1685698267.793352","1685698267.793352",1,"185.225.74.193"
"http://185.225.74.3/x-8.6-.Fourloko",URL,"1675392189.002191","1675381551.853053",1,"185.225.74.3"
"http://185.246.221.138/Nyrox.sh",URL,"1671527522.524091","1671527522.524091",1,"185.246.221.138"
"http://185.246.221.138/x-8.6-.GHOUL",URL,"1670808712.659186","1670726984.934795",1,"185.246.221.138"
"http://185.28.39.119/sh",URL,"1652177305.449895","1652174707.774199",2,"185.28.39.119"
"http://185.44.81.114/poo/x86_64",URL,"1670293944.702628","1670254871.492138",1,"185.44.81.114"
"http://192.241.169.158/fuelphpcms/files/bbproba.tgz",URL,"1621438496.260061","1621438496.260061",1,"192.241.169.158"
"http://192.254.204.95/fresh.tgz",URL,"1661705318.104688","1661704382.999522",1,"192.254.204.95"
"http://192.254.204.95/prgssh3.tgz",URL,"1661705233.646084","1661704691.971820",1,"192.254.204.95"
"http://192.254.204.95/random",URL,"1661705284.235637","1661705284.235637",1,"192.254.204.95"
"http://193.169.252.19/podata.php",URL,"1615268796.112362","1615268796.112362",1,"193.169.252.19"
"http://193.233.185.75/fbot.x86_64",URL,"1655004074.651437","1655004074.651437",1,"193.233.185.75"
"http://193.233.191.44/sh",URL,"1655580041.681007","1655556654.543866",2,"193.233.191.44"
"http://193.233.193.12/yeye/yeye.x86",URL,"1658850251.812004","1658850173.346043",1,"193.233.193.12"
"http://193.35.18.163/html.sh",URL,"1680112390.174449","1680112390.174449",1,"193.35.18.163"
"http://193.35.18.243/sh",URL,"1682569552.164751","1682478305.149956",2,"193.35.18.243"
"http://193.42.33.214/Fourloko.sh",URL,"1672889449.068132","1671511305.271814",1,"193.42.33.214"
"http://193.42.33.81/Gummybins.sh",URL,"1672424139.680573","1672053611.152777",1,"193.42.33.81"
"http://193.56.28.202/gg0.sh",URL,"1614794889.155181","1614794507.739436",1,"193.56.28.202"
"http://194.180.49.134/pedalcheta/cutie.x86_64",URL,"1674655919.947868","1674648246.936369",1,"194.180.49.134"
"http://194.31.98.244/ssh/mips",URL,"1656464291.408069","1656464291.408069",1,"194.31.98.244"
"http://194.31.98.244/ssh/new/x86",URL,"1658070243.745215","1656624001.145388",3,"194.31.98.244"
"http://194.31.98.244/ssh/x86",URL,"1656621981.513814","1656442984.848642",3,"194.31.98.244"
"http://194.31.98.244/w",URL,"1656463863.511721","1656462765.003029",1,"194.31.98.244"
"http://194.38.23.170/jira",URL,"1672314651.436358","1672314651.436358",1,"194.38.23.170"
"http://195.133.18.126/Whispers/Unsp0ken.x86",URL,"1665207139.122848","1665206597.418586",1,"195.133.18.126"
"http://195.178.120.133/typobins.sh",URL,"1659306811.991169","1659258978.247865",1,"195.178.120.133"
"http://195.178.120.151/ZenZ.x86",URL,"1664910791.583940","1664910791.583940",1,"195.178.120.151"
"http://195.178.120.151/okamiii.x86",URL,"1665935902.645911","1665935902.645911",1,"195.178.120.151"
"http://195.178.120.151/x86",URL,"1665358010.064366","1665335929.811761",1,"195.178.120.151"
"http://195.58.39.18/Fourloko.sh",URL,"1672477916.221689","1672286805.833462",1,"195.58.39.18"
